id;phone;instagram;facebook;whatsapp
1;990.948.148;Yen bus;Bacon Inversor;target
2;967.954.075;Director;Personal;web Buckinghamshire
3;948 301 064;Acero;sensible;Dollar)
4;902.182.041;overriding;SQL;de Verde mano
5;955924566;Pantalones Papelería;eyeballs Arquitecto;calculating Práctico
6;946.119.267;Atún transmit;direccional hacking protocolo;Inverso architect
7;945.453.866;bypass;Orgánico RAM;invoice Inteligente global
8;967-027-483;Bedfordshire hack Ladrillo;user-centric Rústico;clicks-and-mortar
9;986 710 665;Iceland Aplicaciones;Nacional;Supervisor Loan SCSI
10;945645372;SMTP;input Peso;Plástico Futuro Configuración
